0	0
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	13
0	14
0	15
0	16
1	0
1	7
1	17
1	18
1	19
1	20
1	21
1	22
1	23
1	24
1	25
1	26
1	27
1	28
1	29
1	30
1	31
1	32
1	33
1	34
1	35
1	36
1	37
1	38
1	39
3	0
3	14
4	0
4	11
4	14
5	0
6	0
6	14
6	37
6	38
6	39
7	0
7	6
7	8
7	14
7	25
7	33
7	37
8	0
8	3
8	14
9	0
9	12
9	14
10	0
10	4
10	6
10	9
10	14
10	15
10	16
10	33
10	35
10	37
10	38
11	0
11	6
11	9
11	14
11	36
14	0
15	0
15	4
17	1
18	1
19	0
19	1
19	17
19	19
19	20
19	21
19	23
19	24
19	25
19	27
19	29
20	0
20	17
20	19
20	20
20	21
20	23
20	24
20	25
20	27
20	29
21	0
21	1
21	21
23	0
23	1
23	17
23	19
23	20
23	21
23	23
23	24
23	25
23	27
23	29
24	0
24	1
24	17
24	19
24	20
24	21
24	23
24	24
24	25
24	27
24	29
25	0
25	1
25	17
25	19
25	20
25	21
25	23
25	24
25	25
25	27
25	29
26	0
26	1
26	17
26	19
26	20
26	21
26	23
26	24
26	25
26	27
26	29
27	0
27	1
27	17
27	19
27	20
27	21
27	23
27	24
27	25
27	27
27	29
28	1
29	0
29	1
30	0
30	1
30	18
32	0
34	0
34	34
35	0
36	0
36	1
36	4
